Mississippi Lookouts Total known Sites - 261 Last Update - 2/24/2008, 
Name, Status, Lat (D/M/S), Long (D/M/S), Notes, 
Saint Ann, Unknown, 324721, 893941, N/A, 
Salem, Unknown, 311608, 900939, N/A, 
Sallis, Unknown, 325818, 894944, N/A, 
Sand Hill (Emory), Unknown, 331520, 895333, N/A, 
Sandtown, Unknown, 324802, 885939, N/A, 
Sandy Mountain, Unknown, 334446, 892333, N/A, 
Sanford, Not Standing, 313013, 892921, Gone (footings present) <2005, 
Scales, Unknown, 344701, 891851, N/A, 
Sellers, Unknown, 303616, 892240, N/A, 
Sharon, Standing, 323939, 895558, Standing 2007, 
Shiloh, Unknown, 343814, 893412, N/A, 
Shiloh, Unknown, 321339, 895015, N/A, 
Shipman, Not Standing, 305225, 883052, Gone (footings present) <2005, 
Shivers (Cody), Unknown, 314902, 900106, N/A, 
Simpson, Standing, 315414, 894652, Standing 02/2005, 
Singleton, Unknown, 325258, 893313, N/A, 
Skates, Unknown, 321142, 903737, N/A, 
Smith, Unknown, 302540, 891607, N/A, 
Smith, Unknown, 315931, 893108, N/A, 
Smithdale, Unknown, 311846, 904136, N/A, 
Snell, Unknown, 320852, 882900, N/A, 
Splunge, Unknown, 340042, 881952, N/A, 
Spring, Unknown, 322758, 895413, N/A, 
Spring Hill, Standing, 305617, 893313, Standing 10/2005, 
State Line, Unknown, 312457, 882852, N/A, 
Steel, Not Standing, 323017, 892438, Removed prior to 2006, 
Stephenson, Unknown, 311708, 910013, N/A, 
Stephenson (old), Not Standing, 311614, 905933, Gone <1969, 
Stone, Standing, 305058, 890203, Standing 10/2005, 
Stony, Not Standing, 312326, 883958, Gone (footings present) <2005, 
Summit, Standing, 311906, 902803, Standing 01/2001, 
Sun, Unknown, 321514, 892227, N/A, 
Sylvarena, Unknown, 320409, 892436, N/A, 
Tate (Coldwater), Standing, 344005, 895639, Standing 01/2001, 
Taylorsville, Unknown, 315439, 892133, N/A, 
Tiger Creek, Unknown, 312707, 885810, N/A, 
Tillman, Not Standing, 321714, 884929, Removed prior to 1990, 
Tilton, Unknown, 312602, 900454, N/A, 
Tippah County (Dumas), Unknown, 344002, 885143, N/A, 
Tombigbee, Unknown, 331606, 890523, N/A ?, 
Troy, Unknown, 340751, 885726, N/A, 
Tunica, Standing, 343830, 902250, Standing 01/2001, 
Tylertown, Unknown, 310435, 900208, N/A, 
University, Standing, 304358, 885444, Standing 10/2005, 
Verona, Not Standing, 341306, 884353, Gone <2005, 
Wausau, Standing, 313147, 885332, Standing 10/2005, 
Wayne, Unknown, 313756, 883946, N/A, 
Webster (Savannah), Unknown, 333957, 891107, N/A, 
Weir, Not Standing, 331812, 892011, Removed in the mid-90s, 
Westonia, Not Standing, 301804, 893450, Moved 1962 for Stennis Space Center, 
Whistler, Not Standing, 314413, 885013, Gone <1991, 
Wilbe, Not Standing, 305146, 885941, N/A, 
Willows, Unknown, 320225, 905319, N/A, 
Wilmot, Unknown, 331757, 905611, N/A, 
Winborn, Unknown, 343716, 891845, N/A, 
Winston, Unknown, 331009, 890517, N/A ?, 
Witch Dance, Unknown, 335735, 885504, N/A ?, 
Wolf River, Unknown, 310033, 893823, N/A, 
Woodall, Not Standing, 344716, 881430, Removed prior to 2003, 
Woodland, Unknown, 334740, 890528, N/A, 
Woodville, Unknown, 310533, 911357, N/A, 
Wren, Unknown, 335849, 883402, N/A, 
Yalobusha (Denley), Standing, 335643, 893854, Standing 2004, 
Yazoo, Unknown, 324454, 902124, N/A, 
Yocona, Unknown, 341504, 891055, N/A, 
, , , , , 
Totals: Total standing active - Not yet determined Total standing inactive - Not yet determined Total no longer standing - Not yet determined, 
